03.04.2021 18:20:35.552 [main] DEBUG  BinarySearcher - "Key" = 212 > 92 at index + 24
03.04.2021 18:20:35.554 [main] DEBUG  BinarySearcher - Changed Start Index from 25 to 25
03.04.2021 18:20:35.554 [main] DEBUG  BinarySearcher - Continue to search on the right side.
03.04.2021 18:20:35.554 [main] DEBUG  BinarySearcher - --------- And Recursion! ---------
03.04.2021 18:20:35.554 [main] DEBUG  BinarySearcher - Search key = 212 in array -> [96 100 103 113 128 128 135 145 146 149 152 164 171 177 182 185 191 197 203 209 212 220 220 231 240]
03.04.2021 18:20:35.559 [main] DEBUG  BinarySearcher - Start index = 25, end index = 49
03.04.2021 18:20:35.559 [main] DEBUG  BinarySearcher - MidIndex = 24
03.04.2021 18:20:35.559 [main] DEBUG  BinarySearcher - "Key" = 212 > 92 at index + 24
03.04.2021 18:20:35.559 [main] DEBUG  BinarySearcher - Changed Start Index from 25 to 25
03.04.2021 18:20:35.559 [main] DEBUG  BinarySearcher - Continue to search on the right side.
03.04.2021 18:20:35.559 [main] DEBUG  BinarySearcher - --------- And Recursion! ---------
03.04.2021 18:20:35.559 [main] DEBUG  BinarySearcher - Search key = 212 in array -> [96 100 103 113 128 128 135 145 146 149 152 164 171 177 182 185 191 197 203 209 212 220 220 231 240]
03.04.2021 18:20:35.559 [main] DEBUG  BinarySearcher - Start index = 25, end index = 49
03.04.2021 18:20:35.560 [main] DEBUG  BinarySearcher - MidIndex = 24
03.04.2021 18:20:35.560 [main] DEBUG  BinarySearcher - "Key" = 212 > 92 at index + 24
03.04.2021 18:20:35.560 [main] DEBUG  BinarySearcher - Changed Start Index from 25 to 25
03.04.2021 18:20:35.560 [main] DEBUG  BinarySearcher - Continue to search on the right side.
03.04.2021 18:20:35.560 [main] DEBUG  BinarySearcher - --------- And Recursion! ---------
03.04.2021 18:20:35.560 [main] DEBUG  BinarySearcher - Search key = 212 in array -> [96 100 103 113 128 128 135 145 146 149 152 164 171 177 182 185 191 197 203 209 212 220 220 231 240]
03.04.2021 18:20:35.560 [main] DEBUG  BinarySearcher - Start index = 25, end index = 49
03.04.2021 18:20:35.560 [main] DEBUG  BinarySearcher - MidIndex = 24
03.04.2021 18:20:35.560 [main] DEBUG  BinarySearcher - "Key" = 212 > 92 at index + 24
03.04.2021 18:20:35.561 [main] DEBUG  BinarySearcher - Changed Start Index from 25 to 25
03.04.2021 18:20:35.561 [main] DEBUG  BinarySearcher - Continue to search on the right side.
03.04.2021 18:20:35.561 [main] DEBUG  BinarySearcher - --------- And Recursion! ---------
03.04.2021 18:20:35.561 [main] DEBUG  BinarySearcher - Search key = 212 in array -> [96 100 103 113 128 128 135 145 146 149 152 164 171 177 182 185 191 197 203 209 212 220 220 231 240]
03.04.2021 18:20:35.561 [main] DEBUG  BinarySearcher - Start index = 25, end index = 49
03.04.2021 18:20:35.561 [main] DEBUG  BinarySearcher - MidIndex = 24
03.04.2021 18:20:35.561 [main] DEBUG  BinarySearcher - "Key" = 212 > 92 at index + 24
03.04.2021 18:20:35.561 [main] DEBUG  BinarySearcher - Changed Start Index from 25 to 25
03.04.2021 18:20:35.561 [main] DEBUG  BinarySearcher - Continue to search on the right side.
03.04.2021 18:20:35.561 [main] DEBUG  BinarySearcher - --------- And Recursion! ---------
03.04.2021 18:20:35.561 [main] DEBUG  BinarySearcher - Search key = 212 in array -> [96 100 103 113 128 128 135 145 146 149 152 164 171 177 182 185 191 197 203 209 212 220 220 231 240]
03.04.2021 18:20:35.561 [main] DEBUG  BinarySearcher - Start index = 25, end index = 49
03.04.2021 18:20:35.561 [main] DEBUG  BinarySearcher - MidIndex = 24
03.04.2021 18:20:35.562 [main] DEBUG  BinarySearcher - "Key" = 212 > 92 at index + 24
03.04.2021 18:20:35.562 [main] DEBUG  BinarySearcher - Changed Start Index from 25 to 25
03.04.2021 18:20:35.562 [main] DEBUG  BinarySearcher - Continue to search on the right side.
03.04.2021 18:20:35.562 [main] DEBUG  BinarySearcher - --------- And Recursion! ---------
03.04.2021 18:20:35.562 [main] DEBUG  BinarySearcher - Search key = 212 in array -> [96 100 103 113 128 128 135 145 146 149 152 164 171 177 182 185 191 197 203 209 212 220 220 231 240]
03.04.2021 18:20:35.562 [main] DEBUG  BinarySearcher - Start index = 25, end index = 49
03.04.2021 18:20:35.562 [main] DEBUG  BinarySearcher - MidIndex = 24
03.04.2021 18:20:35.562 [main] DEBUG  BinarySearcher - "Key" = 212 > 92 at index + 24
03.04.2021 18:20:35.562 [main] DEBUG  BinarySearcher - Changed Start Index from 25 to 25
03.04.2021 18:20:35.562 [main] DEBUG  BinarySearcher - Continue to search on the right side.
03.04.2021 18:20:35.563 [main] DEBUG  BinarySearcher - --------- And Recursion! ---------
03.04.2021 18:20:35.566 [main] DEBUG  BinarySearcher - Search key = 212 in array -> [96 100 103 113 128 128 135 145 146 149 152 164 171 177 182 185 191 197 203 209 212 220 220 231 240]
03.04.2021 18:20:35.571 [main] DEBUG  BinarySearcher - Start index = 25, end index = 49
03.04.2021 18:20:35.571 [main] DEBUG  BinarySearcher - MidIndex = 24
03.04.2021 18:20:35.571 [main] DEBUG  BinarySearcher - "Key" = 212 > 92 at index + 24
03.04.2021 18:20:35.571 [main] DEBUG  BinarySearcher - Changed Start Index from 25 to 25
03.04.2021 18:20:35.571 [main] DEBUG  BinarySearcher - Continue to search on the right side.
03.04.2021 18:20:35.571 [main] DEBUG  BinarySearcher - --------- And Recursion! ---------
03.04.2021 18:20:35.572 [main] DEBUG  BinarySearcher - Search key = 212 in array -> [96 100 103 113 128 128 135 145 146 149 152 164 171 177 182 185 191 197 203 209 212 220 220 231 240]
03.04.2021 18:20:35.572 [main] DEBUG  BinarySearcher - Start index = 25, end index = 49
03.04.2021 18:20:35.572 [main] DEBUG  BinarySearcher - MidIndex = 24
03.04.2021 18:20:35.572 [main] DEBUG  BinarySearcher - "Key" = 212 > 92 at index + 24
03.04.2021 18:20:35.572 [main] DEBUG  BinarySearcher - Changed Start Index from 25 to 25
03.04.2021 18:20:35.572 [main] DEBUG  BinarySearcher - Continue to search on the right side.
03.04.2021 18:20:35.572 [main] DEBUG  BinarySearcher - --------- And Recursion! ---------
03.04.2021 18:20:35.573 [main] DEBUG  BinarySearcher - Search key = 212 in array -> [96 100 103 113 128 128 135 145 146 149 152 164 171 177 182 185 191 197 203 209 212 220 220 231 240]
03.04.2021 18:20:35.573 [main] DEBUG  BinarySearcher - Start index = 25, end index = 49
03.04.2021 18:20:35.573 [main] DEBUG  BinarySearcher - MidIndex = 24
03.04.2021 18:20:35.573 [main] DEBUG  BinarySearcher - "Key" = 212 > 92 at index + 24
